Monster,Blue-Eyes White Dragon,This legendary dragon is a powerful engine of destruction. Virtually invincible very few have faced this awesome creature and lived to tell the tale.,3000,2500,8
Monster,Cosmo Queen,Queen of the galaxies and mistress of the stars.,2900,2450,8
Monster,Dark Magician,The ultimate wizard in terms of attack and defense.,2500,2200,7
Monster,Fence Guard,It is he who keep a close watch to keep the evil intruders away.,2500,2200,7
Monster,Red-Eyes Black Dragon,A ferocious dragon with a deadly attack.,2400,2000,7
Monster,Gaia The Fierce Knight,A knight whose horse travels faster than the wind. His battle-charge is a force to be reckoned with.,2300,2100,7
Monster,Summoned Skull,A fiend with dark powers for confusing the enemy. Among the Fiend-Type monsters this monster boasts considerable force.",2500,1200,6
Monster,Fence Guard Magician,A magician girl who uses her magic to protect fence guards.,2000,1700,6
Monster,Dark Magician Girl,Gains her skill by learning from her master the Dark Magician",2000,1700,6
Monster,Curse Of Dragon,A wicked dragon that taps into dark forces to execute a powerful attack.,2000,1500,5
Monster,Fence Guard Dragon,A fierce creature unleashed on those who threatens the peace of the innocents.,1900,1900,5
Monster,Alexandrite Dragon,Many of the czars' lost jewels can be found in the scales of this priceless dragon. Its creator remains a mystery along with how they acquired the imperial treasures. But whosoever finds this dragon has hit the jackpot... whether they know it or not.",2000,100,4
Monster,Vorse Raider,This wicked Beast-Warrior does every horrid thing imaginable and loves it! His axe bears the marks of his countless victims.,1900,1200,4
Monster,Gemini Elf,Elf twins that alternate their attacks.,1900,900,4
Monster,Fence Guard Apprentice,Trains very hard to be the future Fence Guard,1700,1300,4
Monster,Beta The Magnet Warrior,When the three magnet warriors are combined they make an unstoppable force.,1700,1000,4
Monster,Alligator Sword,dis mighty lissard man can swing his sword so fast dat it's more dan da speed a sound!,1500,1200,4
Monster,Gamma The Magnet Warrior,When the three magnet warriors are combined they make an unstoppable force.,1500,1800,4
Monster,Celtic Guardian,An elf who learned to wield a sword he baffles enemies with lightning-swift attacks.,1400,1200,4
Monster,Alpha The Magnet Warrior,When the three magnet warriors are combined they make an unstoppable force.,1400,1700,4
Monster,Harpie Lady,This human-shaped animal with wings is beautiful to watch but deadly in battle.,1300,1400,4
Monster,Big Shield Gardna,A perfect choice when defense is your only option.,100,2600,4
Monster,Witty Phantom,Dressed in a night-black tuxedo this creature presides over thedarkness.,1400,1300,3
Monster,Baby Dragon,Much more than just a child this dragon is gifted with untapped power.,1200,700,3
Monster,Cyber Jar,This monster from outer space might pack unusual surprises.,900,900,3
Monster,Clown Zombie,A clown revived by the powers of darkness. Its deadly dance has sent many monsters to their graves.,1350,0,2
Monster,Time Wizard,Controls the flow of time to alter the outcome of the duel.,500,400,2
Monster,Man-Eater Bug,A bug with the ability to devour humans.,450,600,2
Monster,Kuriboh,Even though it doesn't seem like much Kuriboh will always be there when needed the most.,300,200,1
Monster,Mokey Mokey,An outcast angel. Nobody knows what he is thinking at all. Sometimes he gets mad and that is dreadful.,300,100,1
